Index,Actual Value (USD),Predicted Value (USD)
Afghanistan-2020,696471.98,6551.7471271402665
Afghanistan-2021,725765.7199999997,2504.938061109743
Afghanistan-2022,541896.8800000002,5524.663898309447
Albania-2020,114093.03000000001,413981.50746973325
Albania-2021,113673.3599999999,354841.8685025227
Albania-2022,163513.95000000004,77.37950722841272
Algeria-2020,497724.9199999996,3814.86012616558
Algeria-2021,534748.4,10771.575672023253
Algeria-2022,478329.0100000004,15.84133769483354
Angola-2020,20026.080000000013,814.3037472904334
Angola-2021,16488.959999999995,12173.070661926993
Angola-2022,26898.459999999977,342.8197960521893
Antigua and Barbuda-2020,233.44000000000008,741.8733513529668
Antigua and Barbuda-2021,127.02000000000004,961.0292051558007
Antigua and Barbuda-2022,255.12,1328.149198180012
Armenia-2020,404271.63000000006,1416487.2073118219
Armenia-2021,442041.2400000002,228418.09782283538
Armenia-2022,556849.9899999998,144.39550745926155
Azerbaijan-2020,702462.2399999995,1715377.1845077318
Azerbaijan-2021,751750.2999999995,3039075.581041966
Azerbaijan-2022,814505.6500000007,200.04837030722098
Bahrain-2020,243903.97999999986,84.7661750042322
Bahrain-2021,196804.97999999984,48.720473323425615
Bahrain-2022,209727.6599999999,10.222884952857541
Bangladesh-2020,440936.2200000003,1494.5134889116282
Bangladesh-2021,592449.7900000002,68.9965149907416
Bangladesh-2022,604924.1200000002,119.65124078086093
Barbados-2021,35147.86999999999,183.55973570354314
Barbados-2022,44216.010000000024,292.8678125286792
Barbados-2020,31783.37,32.649571693444486
Belarus-2022,1659373.0199999996,78.14866812854144
Belize-2020,145347.58999999988,32280.36876300716
Belize-2021,164909.18000000014,14270.699741558428
Belize-2022,173711.43000000002,1961.5935373820998
Benin-2020,140149.20999999993,2876.990180405462
Benin-2021,120699.83,314.46584617401777
Benin-2022,80615.65000000007,249.39243748738204
Bhutan-2020,20441.879999999994,39559.901231693984
Bhutan-2021,25476.530000000006,9107.918603741713
Bhutan-2022,17405.349999999995,2614.496633890196
Bolivia (Plurinational State of)-2020,713106.4199999996,60342.416833004754
Bolivia (Plurinational State of)-2021,1092259.7299999997,256.99889590277553
Bolivia (Plurinational State of)-2022,1439547.589999999,6220.3733789864045
Bosnia and Herzegovina-2020,270211.67,825348.4216689036
Bosnia and Herzegovina-2021,288795.5299999999,585194.3689011285
Bosnia and Herzegovina-2022,302201.62999999983,151.67548896284836
Botswana-2020,16405.97,28172.601146930523
Botswana-2021,23067.300000000003,17710.24382867757
Botswana-2022,23750.669999999995,333.35100214052466
Bulgaria-2020,3025625.9799999986,2232625.0048386315
Bulgaria-2021,4136054.8899999997,1642854.6308384966
Bulgaria-2022,5236547.100000003,46.24433987878247
Burkina Faso-2020,212079.65000000008,484609.54576217843
Burkina Faso-2021,252152.88000000003,125206.1270819201
Burkina Faso-2022,288977.29000000015,2062.951818966031
Cabo Verde-2020,509.9100000000002,8545.43958725731
Cabo Verde-2021,293.99999999999994,2977.548502651821
Cabo Verde-2022,439.99999999999983,2141.517649350578
Cameroon-2020,99638.0700000001,785.2411196964546
Cameroon-2021,146636.21000000005,1.9141003209304839
Cameroon-2022,210567.75999999992,15.158510541706763
Central African Republic-2020,253.88000000000002,8297.04692033023
Central African Republic-2021,41.32000000000001,3158.681477387959
Central African Republic-2022,134.36000000000007,1528.6655729669153
Chad-2020,987.7300000000002,4118.263506080646
Chad-2021,2117.9800000000005,1368.0808899735196
Chad-2022,56.609999999999985,1031.4178713184026
Chile-2020,7884978.910000005,200.53927880734813
Chile-2021,8291582.820000001,18.651257541427565
Chile-2022,8636343.109999996,29.77465964644544
Colombia-2020,2774817.5300000007,405.5471335795631
Colombia-2021,3071193.2700000014,38.8650988211134
Colombia-2022,3640115.4299999997,28.135840859646947
Costa Rica-2022,3590231.7500000033,116.83076700837566
Croatia-2021,1447404.6100000006,231752.4432399978
Croatia-2022,1698917.5499999989,2297.233714274489
Cuba-2020,417214.46000000025,248856.82899467452
Cuba-2021,347056.02000000014,50683.9457060884
Cuba-2022,293868.2500000001,1510.2798436566463
Cyprus-2020,125825.2899999999,646267.7641703411
Cyprus-2021,141941.6000000001,260450.75119344104
Cyprus-2022,144728.0000000001,2120.2845333611103
Czechia-2020,4065498.8399999994,1270232.342031488
Czechia-2021,4395383.209999998,890956.0280529758
Czechia-2022,4984909.249999997,33.85153477355341
Denmark-2021,4247092.409999999,993969.2938155737
Denmark-2022,4499566.660000003,32.99733566408295
Dominican Republic-2020,1737323.6400000004,34074.93823172158
Dominican Republic-2021,2175007.480000002,83.70458688320109
Dominican Republic-2022,2412925.1000000015,2088.374303791541
